id,destination_file_name,source_file_name,timestamp
FD01,sales-report-q1.pdf,sample.pdf,1566160992
FD02,sales-report-q2.pdf,sample.pdf,1508504802
FD03,sales-report-q3.pdf,sample.pdf,1431774581
FD04,sales-report-q4.pdf,sample.pdf,1508504802
FD05,costs-report-q1.pdf,sample.pdf,1431774581
FD06,costs-report-q.pdf,sample.pdf,1705087113
FD07,costs-report-q3.pdf,sample.pdf,1879449553
FD08,costs-report-q4.pdf,sample.pdf,1874724065
FD09,profit-report-q1.pdf,sample.pdf,1429191782
FD10,profit-report-q2.pdf,sample.pdf,1749588543
FI01,pirate-1.jpg,pirate-1.jpg,1802176709
FI02,pirate-2.jpg,pirate-2.jpg,1303006288
FI03,pirate-3.jpg,pirate-3.jpg,1566160992
FI04,pirate-4.jpg,pirate-4.jpg,1508504802
FI05,pirate-5.jpg,pirate-5.jpeg,1431774581
FI06,pirate-6.jpg,pirate-6.jpeg,1705087113
FI07,pirate-7.jpg,pirate-7.jpeg,1879449553
FI08,pirate-8.png,pirate-8.png,1874724065
FI09,pirate-9.jpg,pirate-9.jpeg,1429191782
FI10,pirate-10.png,pirate-10.png,1749588543
FA01,bucaneer-podcast.mp3,sample.mp3,1802176709
FA02,sirius-podcast.mp3,sample.mp3,1303006288
FA03,canopus-podcast.mp3,sample.mp3,1749588544
FA04,arcturus-podcast.mp3,sample.mp3,1802176710
FA05,pollux-podcast.mp3,sample.mp3,1303006289
FA06,vega-podcast.mp3,sample.mp3,1749588545
FA07,rigel-podcast.mp3,sample.mp3,1802176711
FA08,procyon-podcast.mp3,sample.mp3,1303006290
FA09,achernar-podcast.mp3,sample.mp3,1749588546
FA10,betelgeuse-podcast.mp3,sample.mp3,1802176712
